business_id,nearby_businesses,same_type_competitors,competition_intensity,market_revenue,avg_competitor_distance
BUS_001,55,4,0.07272727272727272,250519719,1.1636738226458128
BUS_002,59,7,0.11864406779661017,253749716,1.235618820122649
BUS_003,55,3,0.05454545454545454,304444613,1.2392263763751146
BUS_004,49,6,0.12244897959183673,216431178,1.2309941675934273
BUS_005,37,2,0.05405405405405406,188280438,1.4162310149411141
BUS_006,47,5,0.10638297872340426,244669993,1.3755160115841016
BUS_007,58,10,0.1724137931034483,282109034,1.2787503769018937
BUS_008,55,5,0.09090909090909091,254012628,1.1348516075520667
BUS_009,55,9,0.16363636363636364,282314032,1.3210262725332373
BUS_010,46,3,0.06521739130434782,220683101,1.4752680341722992
BUS_011,52,5,0.09615384615384616,236697471,1.3816786975361184
BUS_012,62,4,0.06451612903225806,276754631,1.186975108393297
BUS_013,44,7,0.1590909090909091,247236126,1.240362433301478
BUS_014,2,0,0.0,12805119,1.1827301170942635
BUS_015,28,5,0.17857142857142858,121844973,1.433414593995188
BUS_016,64,12,0.1875,295211832,1.2695644635692713
BUS_017,45,5,0.1111111111111111,251950438,1.1365997696055041
BUS_018,30,6,0.2,136687151,1.3231616571628426
BUS_019,23,3,0.13043478260869565,134544780,1.3702231279508628
BUS_020,58,6,0.10344827586206896,263329952,1.1730941395127739
BUS_021,46,6,0.13043478260869565,218963379,1.29845169480008
BUS_022,61,6,0.09836065573770492,273159513,1.2486712578725352
BUS_023,42,7,0.16666666666666666,199336231,1.3874163071515997
BUS_024,61,5,0.08196721311475409,291648560,1.2952982221322131
BUS_025,34,3,0.08823529411764706,189980692,1.237694084209493
BUS_026,44,5,0.11363636363636363,233104735,1.3382512616350168
BUS_027,27,3,0.1111111111111111,152871268,1.3278241900623728
BUS_028,2,0,0.0,6000920,1.870429272078991
BUS_029,17,1,0.058823529411764705,92648259,1.3225811042602682
BUS_030,58,8,0.13793103448275862,307643160,1.380676709339544
BUS_031,45,6,0.13333333333333333,215190549,1.385633359207659
BUS_032,57,10,0.17543859649122806,314375795,1.252422193495365
BUS_033,12,3,0.25,52735695,1.4898461414387747
BUS_034,19,1,0.05263157894736842,113678048,1.3623088272154908
BUS_035,18,2,0.1111111111111111,87296989,1.1699103715434624
BUS_036,42,6,0.14285714285714285,231231999,1.1192262078482844
BUS_037,4,2,0.5,27118394,1.822906511131999
BUS_038,0,0,0.0,0,0.0
BUS_039,52,2,0.038461538461538464,234904292,1.3125014536002304
BUS_040,29,1,0.034482758620689655,138771069,1.2463394219768755
BUS_041,48,6,0.125,216753964,1.1807991708708363
BUS_042,1,0,0.0,2386023,1.9740098657108547
BUS_043,53,4,0.07547169811320754,256844724,1.3788561313597367
BUS_044,54,10,0.18518518518518517,244945213,1.1568855217399898
BUS_045,59,6,0.1016949152542373,321363174,1.316223895491732
BUS_046,59,3,0.05084745762711865,270427068,1.1707191252763198
